id,pk,chainage_m,track,kind,lat,lon,heading_deg
R-2,PK 0+620.0,620.0,2,Retroceso,39.58044301,2.66044641,49.1
E-2,PK 1+200.0,1200.0,2,Entrada,39.58488965,2.66691576,48.8
E-SF3,PK 1+835.0,1835.0,1,Entrada,39.58815068,2.67164395,47.9
A-PA22,PK 1+850.0,1850.0,2,Avanzada,39.58822808,2.67175523,47.9
S-SF6,PK 2+200.0,2200.0,2,Salida,39.59003109,2.67435521,47.9
S-SF9,PK 2+300.0,2300.0,1,Salida,39.59054492,2.67509962,48.3
E-SF10,PK 2+490.0,2490.0,2,Entrada,39.59199457,2.67716507,48.0
E-SR1,PK 2+760.0,2760.0,1,Entrada,39.59381119,2.67977767,47.9
A-SF12,PK 3+000.0,3000.0,2,Avanzada,39.59464847,2.68111563,51.5
R-SR4,PK 3+710.0,3710.0,2,Retroceso,39.59711783,2.68774606,72.3
E-SR6,PK 3+980.0,3980.0,2,Entrada,39.59786392,2.69069970,72.2
S-SR11,PK 4+100.0,4100.0,1,Salida,39.59821891,2.69201837,66.8
A-SR10,PK 4+720.0,4720.0,2,Avanzada,39.60167830,2.69766201,46.7
60/1,PK 6+000.0,6000.0,1,Hito / otra,39.60950196,2.70846750,47.1
60/4,PK 6+050.0,6050.0,2,Hito / otra,39.60980389,2.70888885,47.1
A-MA1,PK 7+280.0,7280.0,1,Avanzada,39.61719851,2.71910322,46.6
E-MA3,PK 8+000.0,8000.0,1,Entrada,39.62190131,2.72400079,19.0
S-MA10,PK 8+380.0,8380.0,2,Salida,39.62494347,2.72538328,19.1
S-MA9,PK 8+500.0,8500.0,1,Salida,39.62605587,2.72588919,18.9
E-MA14,PK 8+580.0,8580.0,2,Entrada,39.62679725,2.72629938,29.4
A-MA16,PK 9+300.0,9300.0,2,Avanzada,39.63020804,2.73439210,52.5
108/4,PK 10+900.0,10900.0,2,Hito / otra,39.64309264,2.74267896,22.8
108/1,PK 10+950.0,10950.0,1,Hito / otra,39.64350216,2.74290038,22.6
A-SM1,PK 13+400.0,13400.0,1,Avanzada,39.65291806,2.76286670,113.0
E-SM3,PK 14+150.0,14150.0,1,Entrada,39.65216113,2.77116380,67.7
S-SM8,PK 14+400.0,14400.0,2,Salida,39.65307670,2.77378741,65.4
S-SM9,PK 14+500.0,14500.0,1,Salida,39.65345555,2.77484040,65.2
R-SM14,PK 14+800.0,14800.0,2,Retroceso,39.65459543,2.77803048,65.3
E-SM16,PK 15+040.0,15040.0,2,Entrada,39.65551554,2.78057747,63.4
A-SM18,PK 15+750.0,15750.0,2,Avanzada,39.65984187,2.78665645,43.4
A-CO1,PK 17+250.0,17250.0,1,Avanzada,39.66966197,2.79876331,43.5
E-CO3,PK 18+000.0,18000.0,1,Entrada,39.67456883,2.80482161,43.0
S-CO6,PK 18+370.0,18370.0,2,Salida,39.67699293,2.80780593,43.5
S-CO7,PK 18+500.0,18500.0,1,Salida,39.67783967,2.80885462,43.9
E-CO10,PK 18+650.0,18650.0,2,Entrada,39.67881816,2.81005350,43.0
A-CO12,PK 19+450.0,19450.0,2,Avanzada,39.68344930,2.81706591,67.1
A-BI1,PK 20+750.0,20750.0,1,Avanzada,39.68755972,2.83123936,69.4
E-BI3,PK 21+400.0,21400.0,1,Entrada,39.68999385,2.83808080,52.9
S-BI9,PK 21+890.0,21890.0,1,Salida,39.69317850,2.84201903,41.9
E-BI14,PK 22+050.0,22050.0,2,Entrada,39.69425861,2.84327004,41.8
A-BI16,PK 22+750.0,22750.0,2,Avanzada,39.69898209,2.84874633,41.9
S-BI8,PK 22+750.0,22750.0,2,Salida,39.69898209,2.84874633,41.9
253/4,PK 25+200.0,25200.0,2,Hito / otra,39.71547401,2.86797244,46.8
254/1,PK 25+410.0,25410.0,1,Hito / otra,39.71663376,2.86992265,58.9
A-IN1,PK 27+150.0,27150.0,1,Avanzada,39.71959116,2.88978153,90.3
E-IN3,PK 27+850.0,27850.0,1,Entrada,39.71958220,2.89801917,89.9
S-IN8,PK 28+470.0,28470.0,2,Salida,39.71841237,2.90502219,115.3
S-IN11,PK 28+600.0,28600.0,1,Salida,39.71791830,2.90641944,115.7
R-IN12,PK 28+800.0,28800.0,2,Retroceso,39.71712711,2.90857328,115.1
E-IN14,PK 29+000.0,29000.0,2,Entrada,39.71633640,2.91072737,115.7
A-IN16,PK 29+650.0,29650.0,2,Avanzada,39.71377848,2.91764228,115.6
A-ELL1,PK 32+300.0,32300.0,1,Avanzada,39.69712680,2.93918491,133.0
E-ELL3,PK 33+000.0,33000.0,1,Entrada,39.69320964,2.94546517,119.8
R-ELL5,PK 33+170.0,33170.0,1,Retroceso,39.69246240,2.94718028,119.0
S-ELL8,PK 33+350.0,33350.0,2,Salida,39.69166396,2.94899074,120.8
S-ELL11,PK 33+490.0,33490.0,1,Salida,39.69106583,2.95041545,118.2
R-ELL17,PK 33+730.0,33730.0,2,Retroceso,39.69000091,2.95282388,119.5
E-ELL19,PK 33+900.0,33900.0,2,Entrada,39.68927836,2.95455909,117.9
A-ELL21,PK 34+600.0,34600.0,2,Avanzada,39.68621367,2.96164053,119.6
A-SN1,PK 41+900.0,41900.0,1,Avanzada,39.64766384,3.01023668,122.5
E-SN2,PK 42+150.0,42150.0,1,Entrada,39.64643828,3.01265915,130.9
R-SN3,PK 42+300.0,42300.0,1,Retroceso,39.64541806,3.01377087,150.4
S-SN5,PK 42+300.0,42300.0,2,Salida,39.64541806,3.01377087,150.4
R-SN8,PK 42+600.0,42600.0,2,Retroceso,39.64284904,3.01482630,165.4
S-SN6,PK 42+600.0,42600.0,1,Salida,39.64284904,3.01482630,165.4
E-SN9,PK 42+700.0,42700.0,2,Entrada,39.64196803,3.01513617,164.7
A-SN10,PK 43+400.0,43400.0,2,Avanzada,39.63688094,3.01969312,146.8
A-PS1,PK 46+800.0,46800.0,1,Avanzada,39.61983818,3.04137199,70.2
E-PS2,PK 47+400.0,47400.0,1,Entrada,39.62171561,3.04813914,70.8
R-PS3,PK 47+620.0,47620.0,1,Retroceso,39.62240933,3.05061796,69.5
S-PS4,PK 47+700.0,47700.0,2,Salida,39.62265982,3.05152017,70.6
R-PS8,PK 47+900.0,47900.0,2,Retroceso,39.62326901,3.05369859,69.7
S-PS6,PK 47+900.0,47900.0,1,Salida,39.62326901,3.05369859,69.7
E-PS9,PK 48+100.0,48100.0,2,Entrada,39.62378494,3.05591286,81.0
A-PS10,PK 48+500.0,48500.0,2,Avanzada,39.62257280,3.06006592,136.2
A-PE1,PK 52+200.0,52200.0,1,Avanzada,39.61635735,3.10030841,86.5
E-PE2,PK 52+900.0,52900.0,1,Entrada,39.61705245,3.10832328,64.8
S-PE5,PK 53+100.0,53100.0,2,Salida,39.61792826,3.11034246,59.7
S-PE6,PK 53+250.0,53250.0,1,Salida,39.61859168,3.11185835,60.2
R-PE8,PK 53+300.0,53300.0,2,Retroceso,39.61880896,3.11236836,62.7
E-PE9,PK 53+500.0,53500.0,1,Entrada,39.61938709,3.11456443,79.1
A-PE10,PK 54+150.0,54150.0,2,Avanzada,39.61721999,3.12117760,144.6
A-MN1,PK 63+150.0,63150.0,1,Avanzada,39.56673339,3.19221503,65.9
E-MN2,PK 63+850.0,63850.0,1,Entrada,39.56929440,3.19966197,65.8
S-MN4,PK 63+950.0,63950.0,2,Salida,39.56966232,3.20072465,65.8
